"Houston",14,1150,7887,6.86,77,563.36,10,4,0
"Nevada",13,900,6573,7.3,69,505.62,8,5,0
"Troy",13,973,6314,6.49,55,485.69,9,4,0
"Texas Tech",13,988,6120,6.19,64,470.77,9,4,0
"Texas A&M",13,1053,6055,5.75,56,465.77,6,7,0
"Florida",14,919,6410,6.97,63,457.86,13,1,0
"TCU",13,921,5937,6.45,65,456.69,12,1,0
"Notre Dame",12,848,5421,6.39,44,451.75,6,6,0
"Idaho",13,849,5868,6.91,55,451.38,8,5,0
"Boise St.",14,966,6303,6.52,76,450.21,14,0,0
"Cincinnati",13,833,5817,6.98,66,447.46,12,1,0
"Utah St.",12,872,5272,6.05,44,439.33,4,8,0
"Toledo",12,854,5259,6.16,46,438.25,5,7,0
"Hawaii",13,861,5687,6.61,37,437.46,6,7,0
"Fla. Atlantic",12,878,5185,5.91,44,432.08,5,7,0
"Auburn",13,914,5613,6.14,55,431.77,8,5,0
"Fresno St.",13,876,5597,6.39,56,430.54,8,5,0
"UTEP",12,823,5144,6.25,46,428.67,4,8,0
"Stanford",13,849,5559,6.55,59,427.62,8,5,0
"Arkansas",13,834,5555,6.66,60,427.31,8,5,0
"BYU",13,889,5553,6.25,62,427.15,11,2,0
"UAB",12,754,5111,6.78,42,425.92,5,7,0
"Oklahoma",13,1004,5510,5.49,50,423.85,8,5,0
"Central Mich.",14,994,5924,5.96,61,423.14,12,2,0
"Kansas",12,885,5069,5.73,45,422.42,5,7,0
"Georgia Tech",14,960,5910,6.16,62,422.14,11,3,0
"Middle Tenn.",13,955,5482,5.74,52,421.69,10,3,0
"Florida St.",13,859,5478,6.38,48,421.38,7,6,0
"Texas",14,1053,5897,5.6,68,421.21,13,1,0
"Wisconsin",13,921,5420,5.88,52,416.92,10,3,0
"Southern Miss.",13,903,5413,5.99,57,416.38,7,6,0
"Missouri",13,911,5362,5.89,42,412.46,8,5,0
"Oregon",13,885,5356,6.05,60,412,10,3,0
"Oregon St.",13,918,5338,5.81,49,410.62,8,5,0
"Tulsa",12,869,4921,5.66,45,410.08,5,7,0
"North Texas",12,833,4904,5.89,42,408.67,2,10,0
"Penn St.",13,864,5290,6.12,47,406.92,11,2,0
"Michigan St.",13,842,5281,6.27,47,406.23,6,7,0
"Buffalo",12,836,4865,5.82,37,405.42,5,7,0
"Northwestern",13,1034,5253,5.08,40,404.08,8,5,0
"Wake Forest",12,846,4841,5.72,40,403.42,5,7,0
"Alabama",14,947,5642,5.96,52,403,14,0,0
"Bowling Green",13,956,5235,5.48,48,402.69,7,6,0
"Mississippi",13,880,5231,5.94,49,402.38,9,4,0
"Miami (FL)",13,879,5199,5.91,50,399.92,9,4,0
"North Carolina St.",12,840,4726,5.63,48,393.83,5,7,0
"Illinois",12,828,4722,5.7,38,393.5,3,9,0
"La.-Monroe",12,817,4708,5.76,39,392.33,6,6,0
"California",13,864,5098,5.9,48,392.15,8,5,0
"Virginia Tech",13,822,5097,6.2,51,392.08,10,3,0
"SMU",13,850,5093,5.99,50,391.77,8,5,0
"Pittsburgh",13,817,5091,6.23,50,391.62,10,3,0
"Purdue",12,837,4696,5.61,42,391.33,5,7,0
"Utah",13,890,5064,5.69,46,389.54,10,3,0
"Southern California",13,817,5058,6.19,44,389.08,9,4,0
"Western Mich.",12,872,4654,5.34,38,387.83,5,7,0
"Connecticut",13,903,5034,5.57,52,387.23,8,5,0
"Arizona",13,914,4999,5.47,44,384.54,8,5,0
"Michigan",12,823,4614,5.61,46,384.5,5,7,0
"Tennessee",13,878,4985,5.68,49,383.46,7,6,0
"West Virginia",13,855,4907,5.74,43,377.46,9,4,0
"Washington",12,787,4506,5.73,37,375.5,5,7,0
"Memphis",12,841,4477,5.32,33,373.08,2,10,0
"Louisiana Tech",12,819,4467,5.45,45,372.25,4,8,0
"Mississippi St.",12,821,4463,5.44,37,371.92,5,7,0
"Air Force",13,968,4834,4.99,46,371.85,8,5,0
"East Carolina",14,981,5172,5.27,45,369.43,9,5,0
"Ohio St.",13,879,4797,5.46,44,369,11,2,0
"Duke",12,840,4422,5.26,35,368.5,5,7,0
"Oklahoma St.",13,891,4774,5.36,47,367.23,9,4,0
"South Fla.",13,805,4753,5.9,44,365.62,8,5,0
"Indiana",12,809,4380,5.41,34,365,4,8,0
"Iowa St.",13,896,4741,5.29,33,364.69,7,6,0
"Clemson",14,886,5073,5.73,54,362.36,9,5,0
"Georgia",13,793,4708,5.94,45,362.15,8,5,0
"La.-Lafayette",12,866,4341,5.01,35,361.75,6,6,0
"Navy",14,930,4985,5.36,51,356.07,10,4,0
"UNLV",12,806,4215,5.23,39,351.25,5,7,0
"Colorado St.",12,741,4214,5.69,33,351.17,3,9,0
"Kansas St.",12,802,4192,5.23,34,349.33,6,6,0
"Marshall",13,875,4538,5.19,34,349.08,7,6,0
"South Carolina",13,875,4516,5.16,31,347.38,7,6,0
"Northern Ill.",13,805,4487,5.57,45,345.15,7,6,0
"Miami (OH)",12,886,4122,4.65,25,343.5,1,11,0
"Baylor",12,777,4115,5.3,32,342.92,4,8,0
"San Diego St.",12,776,4103,5.29,35,341.92,4,8,0
"UCF",13,859,4431,5.16,43,340.85,8,5,0
"UCLA",13,857,4386,5.12,28,337.38,7,6,0
"Iowa",13,846,4372,5.17,35,336.31,11,2,0
"Arizona St.",12,800,4013,5.02,34,334.42,4,8,0
"Louisville",12,789,4009,5.08,26,334.08,4,8,0
"Temple",13,831,4335,5.22,48,333.46,9,4,0
"Kentucky",13,877,4310,4.91,44,331.54,7,6,0
"Syracuse",12,775,3965,5.12,31,330.42,4,8,0
"Arkansas St.",12,758,3946,5.21,33,328.83,4,8,0
"Kent St.",12,786,3932,5,27,327.67,5,7,0
"Rutgers",13,811,4242,5.23,45,326.31,9,4,0
"Boston College",13,823,4211,5.12,40,323.92,8,5,0
"Nebraska",14,876,4519,5.16,40,322.79,10,4,0
"FIU",12,856,3851,4.5,35,320.92,3,9,0
"Western Ky.",12,758,3849,5.08,29,320.75,0,12,0
"Maryland",12,802,3797,4.73,29,316.42,2,10,0
"New Mexico",12,831,3784,4.55,23,315.33,1,11,0
"Colorado",12,852,3772,4.43,34,314.33,3,9,0
"Tulane",12,768,3750,4.88,24,312.5,3,9,0
"Ohio",14,857,4342,5.07,41,310.14,9,5,0
"Wyoming",13,906,4022,4.44,27,309.38,7,6,0
"North Carolina",13,845,4001,4.73,35,307.77,8,5,0
"Minnesota",13,815,3984,4.89,33,306.46,6,7,0
"Vanderbilt",12,803,3676,4.58,21,306.33,2,10,0
"Rice",12,859,3655,4.25,28,304.58,2,10,0
"LSU",13,771,3959,5.13,39,304.54,9,4,0
"Akron",12,735,3611,4.91,30,300.92,3,9,0
"Ball St.",12,750,3526,4.7,25,293.83,2,10,0
"San Jose St.",12,754,3408,4.52,21,284,2,10,0
"Eastern Mich.",12,748,3340,4.47,24,278.33,0,12,0
"Army",12,754,3304,4.38,19,275.33,5,7,0
"Virginia",12,773,3235,4.18,26,269.58,3,9,0
"Washington St.",12,726,2983,4.11,18,248.58,1,11,0
"New Mexico St.",13,772,2981,3.86,18,229.31,3,10,0
